month,close_usd,source,feed,status,retrieved_at
2025-06,497.45,Alpaca market-data connector,IEX,EXECUTED_REAL_MARKET_DATA,2026-09-16
2025-07,533.93,Alpaca market-data connector,IEX,EXECUTED_REAL_MARKET_DATA,2026-09-16
2025-08,506.74,Alpaca market-data connector,IEX,EXECUTED_REAL_MARKET_DATA,2026-09-16
2025-09,518.12,Alpaca market-data connector,IEX,EXECUTED_REAL_MARKET_DATA,2026-09-16
2025-10,517.815,Alpaca market-data connector,IEX,EXECUTED_REAL_MARKET_DATA,2026-09-16
2025-11,491.995,Alpaca market-data connector,IEX,EXECUTED_REAL_MARKET_DATA,2026-09-16
2025-12,483.695,Alpaca market-data connector,IEX,EXECUTED_REAL_MARKET_DATA,2026-09-16
2026-01,430.05,Alpaca market-data connector,IEX,EXECUTED_REAL_MARKET_DATA,2026-09-16
2026-02,392.8,Alpaca market-data connector,IEX,EXECUTED_REAL_MARKET_DATA,2026-09-16
2026-03,370.13,Alpaca market-data connector,IEX,EXECUTED_REAL_MARKET_DATA,2026-09-16
2026-04,407.765,Alpaca market-data connector,IEX,EXECUTED_REAL_MARKET_DATA,2026-09-16
2026-05,449.44,Alpaca market-data connector,IEX,EXECUTED_REAL_MARKET_DATA,2026-09-16
2026-06,372.92,Alpaca market-data connector,IEX,EXECUTED_REAL_MARKET_DATA,2026-09-16
