model,n,r2,adj_r2,const,const_se_hc3,const_p_hc3,Mkt_RF,Mkt_RF_se_hc3,Mkt_RF_p_hc3,ticker,return_type,window,SMB,SMB_se_hc3,SMB_p_hc3,HML,HML_se_hc3,HML_p_hc3,RMW,RMW_se_hc3,RMW_p_hc3,CMA,CMA_se_hc3,CMA_p_hc3
CAPM,31,0.2786291155811148,0.25375425749770497,-0.008927278874225814,0.014793431738868528,0.5462011641556334,1.2425449327075238,0.25586971845035916,1.1968249412792205e-06,MSFT,price,31m_2024-01_to_2026-07,,,,,,,,,,,,
FF3,31,0.4595645500546719,0.3995161667274132,-0.007510220912870941,0.013434021627095265,0.5761310960195642,1.123664486785446,0.24146340776340733,3.2625240723164284e-06,MSFT,price,31m_2024-01_to_2026-07,-0.7168606658547634,0.33033725330315605,0.03000023590964165,-0.6637188280769976,0.34075798742287106,0.05144226409312743,,,,,,
FF5,31,0.6735979062523021,0.6083174875027626,-0.003961765943906152,0.015284774983819421,0.7954833404593715,1.348806241485268,0.3415130461092561,7.831416462599163e-05,MSFT,price,31m_2024-01_to_2026-07,-0.48213402442701253,0.32662607866139054,0.13991600549262304,-0.9863384367835303,0.38003819839017994,0.009449008204387167,1.290430406331556,0.9949802212987449,0.19465156991029486,-0.17379718434336283,0.5469287560438252,0.7506599168968995
CAPM,31,0.2813437607132353,0.25656251108265715,-0.008393835082497431,0.014768085750413266,0.569779243140691,1.2500032160078938,0.2568312072215455,1.1329224283061732e-06,MSFT,dividend_inclusive_approx,31m_2024-01_to_2026-07,,,,,,,,,,,,
FF3,31,0.4612847975945883,0.4014275528828759,-0.007056980733948931,0.013426066464296397,0.5991537237666399,1.1340042525885252,0.24283178142706954,3.0132152523312344e-06,MSFT,dividend_inclusive_approx,31m_2024-01_to_2026-07,-0.7211306732246234,0.32791066566889615,0.0278659722042069,-0.656366148337772,0.3377781006391699,0.051993520212297126,,,,,,
FF5,31,0.6750095617943072,0.6100114741531686,-0.00346024634557501,0.015245987231706669,0.8204539745960708,1.3601615814383596,0.3421709777669529,7.035165324172661e-05,MSFT,dividend_inclusive_approx,31m_2024-01_to_2026-07,-0.4855849702213808,0.32959712353485515,0.1406787241592117,-0.9864028738804362,0.38162105423091236,0.009744381194408727,1.289212511742428,0.9920615196657707,0.19376251793316734,-0.1564331685181526,0.5445628897457887,0.7739103898073776
CAPM,19,0.252404606435509,0.20842840681406838,-0.007711057441283161,0.022774196042240454,0.7349205223956893,1.314783767474287,0.3630965148011509,0.0002934312508733502,MSFT,price,19m_2025-01_to_2026-07,,,,,,,,,,,,
FF3,19,0.46250782954001934,0.35500939544802323,0.008558564017901404,0.02219222324562303,0.6997514544599468,0.805229027342893,0.34314477810086863,0.018944767993553376,MSFT,price,19m_2025-01_to_2026-07,-1.1401262964019698,1.00498049804013,0.2565949183234254,-1.157489476356288,0.8767285685244279,0.1867559093502964,,,,,,
FF5,19,0.7984284214491757,0.7209008912373203,0.02839972474557573,0.025153438379281697,0.25887279856942036,1.023091601572223,0.3784858202270363,0.0068692481952482955,MSFT,price,19m_2025-01_to_2026-07,-0.8504509296006058,0.625636714473175,0.17403992832183268,-2.0492353409217654,0.54773582899227,0.0001830824268610527,1.6430944273119992,1.040536246181244,0.11431672729533833,-0.05825483436565171,0.6314221659591491,0.9264916879289655
CAPM,19,0.25319383675367946,0.20926406244507234,-0.007116855433450562,0.02273428404819124,0.7542464244044459,1.3170951890933225,0.3654093237125134,0.0003128293203440938,MSFT,dividend_inclusive_approx,19m_2025-01_to_2026-07,,,,,,,,,,,,
