ticker,company,latest_fiscal_year_end,revenue_musd,net_income_musd,revenue_growth_pct,net_margin_pct,quality_flags
AAPL,Apple Inc.,2025-09-27,416161,112010,6.43,26.92,OK
AMZN,"Amazon.com, Inc.",2025-12-31,716924,77670,12.38,10.83,NOT_REPORTED:GROSS_PROFIT
GOOGL,Alphabet Inc.,2025-12-31,402836,132170,15.09,32.81,DERIVED:GROSS_PROFIT=REVENUE-COST_OF_REVENUES
JPM,JPMorgan Chase & Co.,2025-12-31,182447,57048,2.75,31.27,BANK:TOTAL_NET_REVENUE;NOT_APPLICABLE:GROSS_PROFIT|OPERATING_INCOME
META,"Meta Platforms, Inc.",2025-12-31,200966,60458,22.17,30.08,DERIVED:GROSS_PROFIT=REVENUE-COST_OF_REVENUE
MSFT,Microsoft Corporation,2026-06-30,331839,133749,17.79,40.31,OK
NVDA,NVIDIA Corporation,2026-01-25,215938,120067,65.47,55.60,OK
TSLA,"Tesla, Inc.",2025-12-31,94827,3794,-2.93,4.00,OK
WMT,Walmart Inc.,2026-01-31,713163,22270,4.73,3.12,OK
XOM,Exxon Mobil Corporation,2025-12-31,332238,28844,-4.96,8.68,NOT_REPORTED:GROSS_PROFIT|OPERATING_INCOME;REVENUE=TOTAL_REVENUES_AND_OTHER_INCOME
