company,ticker,cik,sector,fiscal_year_end,fiscal_year_end_year,revenue_musd,gross_profit_musd,operating_income_musd,net_income_musd,assets_musd,liabilities_musd,equity_musd,accession,filed,source_url,quality_flags
Microsoft Corporation,MSFT,0000789019,Technology,2024-06-30,2024,245122,171008,109433,88136,,,,0001193125-26-323660,2026-07-29,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,OK
Microsoft Corporation,MSFT,0000789019,Technology,2025-06-30,2025,281724,193893,128528,101832,,,,0001193125-26-323660,2026-07-29,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,OK
Microsoft Corporation,MSFT,0000789019,Technology,2026-06-30,2026,331839,225465,155237,133749,,,,0001193125-26-323660,2026-07-29,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,OK
Apple Inc.,AAPL,0000320193,Technology,2023-09-30,2023,383285,169148,114301,96995,,,,0000320193-25-000079,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,OK
Apple Inc.,AAPL,0000320193,Technology,2024-09-28,2024,391035,180683,123216,93736,,,,0000320193-25-000079,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,OK
Apple Inc.,AAPL,0000320193,Technology,2025-09-27,2025,416161,195201,133050,112010,,,,0000320193-25-000079,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,OK
Alphabet Inc.,GOOGL,0001652044,Communication Services,2023-12-31,2023,307394,174062,84293,73795,,,,0001652044-26-000018,2026-02-05,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,DERIVED:GROSS_PROFIT=REVENUE-COST_OF_REVENUES
Alphabet Inc.,GOOGL,0001652044,Communication Services,2024-12-31,2024,350018,203712,112390,100118,,,,0001652044-26-000018,2026-02-05,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,DERIVED:GROSS_PROFIT=REVENUE-COST_OF_REVENUES
Alphabet Inc.,GOOGL,0001652044,Communication Services,2025-12-31,2025,402836,240301,129039,132170,,,,0001652044-26-000018,2026-02-05,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,DERIVED:GROSS_PROFIT=REVENUE-COST_OF_REVENUES
"Amazon.com, Inc.",AMZN,0001018724,Consumer / Technology,2023-12-31,2023,574785,,36852,30425,,,,0001018724-26-000004,2026-02-06,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,NOT_REPORTED:GROSS_PROFIT
"Amazon.com, Inc.",AMZN,0001018724,Consumer / Technology,2024-12-31,2024,637959,,68593,59248,,,,0001018724-26-000004,2026-02-06,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,NOT_REPORTED:GROSS_PROFIT
"Amazon.com, Inc.",AMZN,0001018724,Consumer / Technology,2025-12-31,2025,716924,,79975,77670,,,,0001018724-26-000004,2026-02-06,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,NOT_REPORTED:GROSS_PROFIT
NVIDIA Corporation,NVDA,0001045810,Technology,2024-01-28,2024,60922,44301,32972,29760,,,,0001045810-26-000021,2026-02-25,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,OK
NVIDIA Corporation,NVDA,0001045810,Technology,2025-01-26,2025,130497,97858,81453,72880,,,,0001045810-26-000021,2026-02-25,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,OK
NVIDIA Corporation,NVDA,0001045810,Technology,2026-01-25,2026,215938,153463,130387,120067,,,,0001045810-26-000021,2026-02-25,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,OK
"Meta Platforms, Inc.",META,0001326801,Communication Services,2023-12-31,2023,134902,108943,46751,39098,,,,0001628280-26-025534,2026-02-05,https://www.sec.gov/Archives/edgar/data/1326801/000162828026025534/meta-12312025x10kars.htm,DERIVED:GROSS_PROFIT=REVENUE-COST_OF_REVENUE
"Meta Platforms, Inc.",META,0001326801,Communication Services,2024-12-31,2024,164501,134340,69380,62360,,,,0001628280-26-025534,2026-02-05,https://www.sec.gov/Archives/edgar/data/1326801/000162828026025534/meta-12312025x10kars.htm,DERIVED:GROSS_PROFIT=REVENUE-COST_OF_REVENUE
"Meta Platforms, Inc.",META,0001326801,Communication Services,2025-12-31,2025,200966,164791,83276,60458,,,,0001628280-26-025534,2026-02-05,https://www.sec.gov/Archives/edgar/data/1326801/000162828026025534/meta-12312025x10kars.htm,DERIVED:GROSS_PROFIT=REVENUE-COST_OF_REVENUE
JPMorgan Chase & Co.,JPM,0000019617,Financials,2023-12-31,2023,158104,,,49552,,,,0001628280-26-008131,2026-02-20,https://www.sec.gov/Archives/edgar/data/19617/000162828026008131/jpm-20251231.htm,BANK:TOTAL_NET_REVENUE;NOT_APPLICABLE:GROSS_PROFIT|OPERATING_INCOME
JPMorgan Chase & Co.,JPM,0000019617,Financials,2024-12-31,2024,177556,,,58471,,,,0001628280-26-008131,2026-02-20,https://www.sec.gov/Archives/edgar/data/19617/000162828026008131/jpm-20251231.htm,BANK:TOTAL_NET_REVENUE;NOT_APPLICABLE:GROSS_PROFIT|OPERATING_INCOME
