Industry,Number_Firms,Beta,Cost_Equity,E_weight,Stock_SD,Cost_Debt,Tax_Rate,AfterTax_Cost_Debt,D_weight,WACC
Advertising,57,1.37,10.19,74.76,56.41,5.35,5.44,4.01,25.24,8.633
Aerospace/Defense,70,1.08,8.83,79.71,36.4,5.09,7.28,3.81,20.29,7.813
Air Transport,25,1.27,9.71,38.15,44.65,5.09,8.62,3.81,61.85,6.062
Apparel,38,1.19,9.38,67.22,37.04,5.09,10.19,3.81,32.78,7.553
Auto & Truck,34,1.52,10.88,76.32,59.7,5.35,3.12,4.01,23.68,9.257
Auto Parts,39,1.34,10.06,72.23,37.07,5.09,14.62,3.81,27.77,8.329
Bank (Money Center),15,1.06,8.76,31.63,22.51,4.5,17.69,3.38,68.37,5.081
Banks (Regional),625,0.46,6.0,49.52,18.68,4.5,17.69,3.38,50.48,4.677
Beverage (Alcoholic),19,1.13,9.09,80.34,49.7,5.09,10.42,3.81,19.66,8.05
Beverage (Soft),29,0.76,7.4,85.38,42.96,5.09,6.68,3.81,14.62,6.872
Broadcasting,22,1.06,8.76,36.18,38.46,5.09,7.85,3.81,63.82,5.604
Brokerage & Investment Banking,27,1.12,9.03,30.67,25.21,5.09,16.84,3.81,69.33,5.415
Building Materials,44,1.32,9.94,84.64,28.72,5.09,19.94,3.81,15.36,9.001
Business & Consumer Services,162,1.02,8.58,84.79,41.29,5.09,10.84,3.81,15.21,7.856
Cable TV,10,1.28,9.75,49.57,33.01,5.09,23.72,3.81,50.43,6.758
Chemical (Basic),32,1.1,8.92,68.65,38.92,5.09,8.93,3.81,31.35,7.321
Chemical (Diversified),4,1.13,9.09,58.99,37.24,5.09,14.89,3.81,41.01,6.928
Chemical (Specialty),68,1.09,8.88,78.85,36.6,5.09,10.4,3.81,21.15,7.81
Coal & Related Energy,18,1.27,9.73,81.6,55.69,5.35,2.62,4.01,18.4,8.675
Computer Services,72,1.0,8.47,77.43,49.61,5.09,7.78,3.81,22.57,7.418
Computers/Peripherals,36,1.13,9.09,94.26,38.9,5.09,8.67,3.81,5.74,8.788
Construction Supplies,45,1.13,9.07,80.19,37.83,5.09,14.91,3.81,19.81,8.028
Diversified,23,1.19,9.38,83.93,52.25,5.35,5.25,4.01,16.07,8.514
Drugs (Biotechnology),572,1.12,9.05,85.92,61.98,5.35,0.81,4.01,14.08,8.339
Drugs (Pharmaceutical),245,1.03,8.6,86.17,65.3,6.09,2.89,4.57,13.83,8.046
Education,31,1.23,9.52,83.62,43.78,5.09,11.15,3.81,16.38,8.582
Electrical Equipment,103,1.24,9.59,82.38,54.42,5.35,5.66,4.01,17.62,8.607
Electronics (Consumer & Office),13,1.3,9.84,84.51,39.42,5.09,7.31,3.81,15.49,8.905
Electronics (General),129,0.93,8.18,85.33,42.94,5.09,8.17,3.81,14.67,7.536
Engineering/Construction,43,0.96,8.3,79.24,33.68,5.09,14.27,3.81,20.76,7.368
Entertainment,98,0.99,8.45,77.67,61.19,5.35,3.25,4.01,22.33,7.463
Environmental & Waste Services,57,0.91,8.05,82.0,46.07,5.09,5.42,3.81,18.0,7.289
Farming/Agriculture,42,0.99,8.44,68.82,54.14,5.35,6.68,4.01,31.18,7.061
Financial Svcs. (Non-bank & Insurance),172,1.14,9.14,22.02,38.66,5.09,11.07,3.81,77.98,4.987
Food Processing,82,0.61,6.67,74.79,36.51,5.09,8.29,3.81,25.21,5.947
Food Wholesalers,14,0.97,8.32,69.14,27.3,5.09,15.9,3.81,30.86,6.931
Furn/Home Furnishings,31,1.11,8.97,67.77,46.65,5.09,13.94,3.81,32.23,7.31
Green & Renewable Energy,17,1.11,8.97,41.42,57.34,5.35,4.39,4.01,58.58,6.068
Healthcare Products,230,1.06,8.77,88.76,52.21,5.35,4.81,4.01,11.24,8.232
Healthcare Support Services,119,1.03,8.63,78.82,49.53,5.09,8.08,3.81,21.18,7.61
Heathcare Information and Technology,128,1.27,9.74,86.15,54.15,5.35,3.11,4.01,13.85,8.951
Homebuilding,32,1.37,10.18,85.9,32.31,5.09,17.22,3.81,14.1,9.282
Hospitals/Healthcare Facilities,32,0.88,7.93,55.63,46.33,5.09,6.86,3.81,44.37,6.102
Hotel/Gaming,68,1.34,10.06,67.26,40.8,5.09,8.63,3.81,32.74,8.015
Household Products,93,0.84,7.76,85.8,51.12,5.35,8.21,4.01,14.2,7.228
