Date,Mkt_RF,SMB,HML,RMW,CMA,RF
201001,-3.36,0.28,0.31,-1.41,0.44,0.0
201002,3.4,1.47,3.13,-0.28,1.43,0.0
201003,6.31,1.79,2.13,-0.62,1.69,0.01
201004,2.0,5.05,2.82,1.12,1.69,0.01
201005,-7.89,0.06,-2.39,1.29,-0.19,0.01
201006,-5.56,-2.49,-4.48,-0.27,-1.5,0.01
201007,6.93,0.09,-0.26,0.24,2.01,0.01
201008,-4.77,-3.11,-1.96,0.72,-1.69,0.01
201009,9.54,3.72,-3.13,-0.21,0.47,0.01
201010,3.88,0.78,-2.61,1.29,-0.23,0.01
201011,0.6,3.61,-0.9,0.24,1.63,0.01
201012,6.82,0.95,3.81,-3.65,3.23,0.01
201101,1.99,-2.42,0.81,-0.89,0.69,0.01
201102,3.49,1.64,1.09,-1.93,0.95,0.01
201103,0.45,2.67,-1.58,1.65,-0.03,0.01
201104,2.9,-0.51,-2.52,1.1,-0.84,0.0
201105,-1.27,-0.68,-2.07,2.02,-1.5,0.0
201106,-1.75,0.11,-0.31,2.38,-1.45,0.0
201107,-2.36,-1.35,-1.21,2.43,-1.69,0.0
201108,-5.99,-3.21,-2.45,3.19,-0.2,0.01
201109,-7.59,-3.77,-1.39,1.89,0.28,0.0
201110,11.35,3.56,-0.18,-1.94,-0.85,0.0
201111,-0.28,-0.26,-0.34,1.77,1.5,0.0
201112,0.74,-0.44,1.78,0.76,2.36,0.0
201201,5.05,2.16,-1.14,-1.8,-1.41,0.0
201202,4.42,-1.63,0.09,-0.19,-0.06,0.0
201203,3.11,-0.46,0.91,-0.41,0.81,0.0
201204,-0.85,-0.59,-0.49,1.12,0.67,0.0
201205,-6.19,-0.1,-0.58,2.25,2.41,0.01
201206,3.89,0.96,0.44,-1.23,0.32,0.0
201207,0.79,-2.68,-0.26,1.13,0.13,0.0
201208,2.55,0.44,1.28,-1.27,-0.73,0.01
201209,2.73,0.66,1.52,-1.38,1.59,0.01
201210,-1.76,-0.81,3.79,-1.39,2.28,0.01
201211,0.78,0.36,-0.98,0.67,0.91,0.01
201212,1.18,1.88,3.58,-1.99,0.86,0.01
201301,5.57,0.56,0.91,-1.64,1.47,0.0
201302,1.29,-0.38,0.01,-0.68,0.48,0.0
201303,4.03,0.83,-0.28,0.17,1.31,0.0
201304,1.55,-2.3,0.59,0.08,0.47,0.0
201305,2.8,2.07,2.56,-1.68,-0.78,0.0
201306,-1.2,1.35,-0.17,-0.45,-0.01,0.0
201307,5.65,1.79,0.55,-1.45,0.56,0.0
201308,-2.71,-0.02,-2.76,0.62,-2.18,0.0
