Panel,Variable,N,Mean,SD,Min,P25,Median,P75,Max
A: Fama-French monthly factors,Mkt_RF,127,1.0769291338582676,4.1461065139594355,-13.39,-0.9850000000000001,1.36,3.42,13.65
A: Fama-French monthly factors,SMB,127,-0.10472440944881885,2.4357058970856604,-8.42,-1.8849999999999998,0.22,1.4100000000000001,6.8
A: Fama-French monthly factors,HML,127,-0.471496062992126,2.66129103373799,-14.17,-1.85,-0.49,0.8600000000000001,8.32
A: Fama-French monthly factors,RMW,127,0.11937007874015751,1.4618442081627174,-3.97,-0.8300000000000001,0.17,1.11,3.48
A: Fama-French monthly factors,CMA,127,-0.0326771653543307,1.4769925733114901,-3.33,-1.085,-0.03,0.9299999999999999,3.78
A: Fama-French monthly factors,RF,127,0.04346456692913385,0.06481203534074034,0.0,0.0,0.01,0.07500000000000001,0.21
B: Damodaran industries,WACC,45,7.473377777777777,1.1897565887205837,4.677,6.928,7.553,8.339,9.282
B: Damodaran industries,Beta,45,1.098888888888889,0.19898860431307278,0.46,1.0,1.11,1.24,1.52
B: Damodaran industries,D_weight,45,28.797111111111107,18.037898061155754,5.74,15.49,21.18,32.74,77.98
B: Damodaran industries,Stock_SD,45,43.43733333333333,10.890566476626374,18.68,37.04,42.94,52.21,65.3
B: Damodaran industries,AfterTax_Cost_Debt,45,3.861111111111111,0.17253750873126664,3.38,3.81,3.81,4.01,4.57
