Panel,Variable_1,Variable_2,Pearson_r
A: Fama-French,Mkt_RF,SMB,0.4464928596614351
A: Fama-French,Mkt_RF,HML,0.23390784311483082
A: Fama-French,Mkt_RF,RMW,-0.14862111015187945
A: Fama-French,Mkt_RF,CMA,-0.0642205492659516
A: Fama-French,SMB,HML,0.3253418383938547
A: Fama-French,SMB,RMW,-0.32658899487253396
A: Fama-French,SMB,CMA,0.05543191890206052
A: Fama-French,HML,RMW,-0.02484186136437249
A: Fama-French,HML,CMA,0.54665452543723
A: Fama-French,RMW,CMA,0.039518675531861155
B: Damodaran,WACC,Beta,0.5986129870583962
B: Damodaran,WACC,D_weight,-0.8266623277369481
B: Damodaran,WACC,Stock_SD,0.4262718365907983
B: Damodaran,WACC,AfterTax_Cost_Debt,0.45789993085644837
B: Damodaran,Beta,D_weight,-0.055248532519554965
B: Damodaran,Beta,Stock_SD,0.2099651333860932
B: Damodaran,Beta,AfterTax_Cost_Debt,0.26197666834321587
B: Damodaran,D_weight,Stock_SD,-0.38551869650782056
B: Damodaran,D_weight,AfterTax_Cost_Debt,-0.3909381177089894
B: Damodaran,Stock_SD,AfterTax_Cost_Debt,0.7998613259327944
